center,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7
IND784168AAB,3.7735054,0.0,2.989141,0.0,3.5808544,0.0,0.0,3.6002555
IND303002AAA,2.8405163,0.0,2.0407553,0.0,2.7578673,0.0,0.0,2.7134337
IND110085AAB,4.6503525,0.0,2.8328269,0.0,3.4683454,0.0,0.0,4.280295
IND462042AAA,5.745951,0.0,3.9585404,0.0,5.2193546,0.0,0.0,5.2671795
IND756029AAA,0.65457124,0.0,0.0,0.0,0.23578495,0.0,0.0,0.3593398
IND531001AAA,2.8143485,0.0,2.0844848,0.0,2.708546,0.0,0.0,2.743461
IND685514AAA,2.6998508,0.0,2.2903793,0.0,2.5521514,0.0,0.0,2.626527
IND625531AAA,2.475951,0.0,1.936953,0.0,2.2615116,0.26415116,0.0,2.2171023
IND416122AAA,2.723791,0.0,2.0552013,0.0,2.7342713,0.0,0.0,2.614603
IND641062AAD,6.3652463,0.0,4.094658,0.0,3.8618476,0.0,0.0,4.9057755
IND609110AAA,4.1443567,0.0,3.3708937,0.13434818,3.976591,1.1268467,0.0,3.6179202
IND621112AAA,2.8041756,0.0,2.2572112,0.0,2.6883986,0.40633133,0.0,2.4895465
IND394221AAA,2.9254737,0.0,2.1511652,0.0,3.1157315,0.0,0.0,2.8691409
IND517644AAA,3.7412183,0.0,3.0533879,0.0,3.6692855,0.74108,0.0,3.3551188
IND276128AAA,14.12806,0.0,11.852171,2.534886,13.342995,5.8841734,0.0,12.303101
IND686028AAB,4.114947,0.0,3.2423465,0.0,3.7591808,0.0,0.0,3.7973607
IND624001AAA,5.173947,0.0,3.8578897,0.0,4.192623,0.6942272,0.0,4.3933597
IND723202AAA,2.7840447,0.0,2.1934361,0.0,2.8545935,0.0,0.0,2.6420443
IND206122AAA,2.4358063,0.0,1.729453,0.0,2.6517484,0.0,0.0,2.4776406
IND582101AAB,3.0745318,0.0,2.5066183,0.0,3.1162794,0.0,0.0,2.9819372
IND484551AAA,4.973535,0.0,4.095825,0.051307544,4.8614016,1.3763927,0.0,4.399481
IND410206AAB,4.7071967,0.0,3.7777936,0.0,4.7301855,0.0,0.0,4.359057
IND181201AAB,4.87377,0.0,3.94122,0.0,4.7831683,0.78614646,0.0,4.4324417
IND585314AAA,3.000107,0.0,2.26815,0.0,2.7658627,0.0,0.0,2.802702
IND413709AAA,3.2159672,0.0,2.4678457,0.0,2.6395812,0.0,0.0,2.944092
