source_center,destination_center,source_name,destination_name,median_factor,total_trips,median_osrm_dist_km,pct_delayed,is_sparse,is_chronically_delayed
IND535501AAB,IND532001AAB,Parvathipuram_Central_D_2 (Andhra Pradesh),Srikakulam_Kuslpram_I (Andhra Pradesh),1.9506172839506173,1,88.7522,1.0,True,True
IND342601AAA,IND342902A1B,Piparcity_BsstdDPP_D (Rajasthan),,1.9504283965728275,6,38.84875,1.0,False,True
IND791125AAB,IND791102AAA,Likabali_ZoomCDPP_D (Arunachal Pradesh),Pasighat_MissonRd_D (Arunachal Pradesh),1.9503858024691358,4,109.68465,1.0,True,True
IND562132AAA,IND395023AAA,Bangalore_Nelmngla_H (Karnataka),Surat_HUB (Gujarat),1.9502890173410403,1,1188.1769,1.0,True,True
IND562132AAA,IND560085AAA,Bangalore_Nelmngla_H (Karnataka),Bengaluru_Banshkri_DC (Karnataka),1.9500000000000002,18,30.412599999999998,1.0,False,True
IND385535AAA,IND384205AAA,Deesa_HawaiPlr_DC (Gujarat),Mehsana_Panchot_IP (Gujarat),1.95,17,92.1865,1.0,False,True
IND572201AAB,IND573201AAB,Tiptur_YTRd_D (Karnataka),Hassan_Pandrnga_I (Karnataka),1.9498039215686274,2,55.7285,1.0,True,True
IND504215AAA,IND505001AAB,Luxettipet_ShivaDPP_D (Telangana),Karimnagar_KamnHbRD_I (Telangana),1.9491525423728813,15,65.1652,1.0,False,True
IND425406AAA,IND425405AAA,Shindkheda_KakaCplx_D (Maharashtra),Shirpur_KrantiNgr_D (Maharashtra),1.9484126984126984,4,20.7417,1.0,True,True
IND604303AAA,IND603102AAA,Marakkanam_MJRDPP_D (Tamil Nadu),Kalpakkam_Sadras_D (Tamil Nadu),1.9483805668016196,4,53.4901,1.0,True,True
IND562132AAA,IND600056AAB,Bangalore_Nelmngla_H (Karnataka),MAA_Poonamallee_HB (Tamil Nadu),1.9483471074380163,14,319.41499999999996,1.0,False,True
IND501359AAE,IND413002AAA,Hyderabad_Shamshbd_H (Telangana),Solapur_Central_I_2 (Maharashtra),1.9477911646586343,11,327.37690000000003,1.0,False,True
IND364004AAB,IND365560AAA,Bhavnagar_ChtrGIDC_IP (Gujarat),Amreli_MrktYrd_DC (Gujarat),1.947368421052632,7,109.5179,1.0,False,True
IND425201AAA,IND425508AAB,Bhusawal_Samarth_D (Maharashtra),Raver_Truptingr_D (Maharashtra),1.947368421052632,9,41.5698,1.0,False,True
IND786184AAA,IND786190AAA,Chabua_CollgeRD_D (Assam),DoomDooma_Pthrgoan_D (Assam),1.9464285714285714,2,38.96300000000001,1.0,True,True
IND508206AAA,IND507002AAA,Kodad_VidyaNgr_D (Telangana),Khammam_NSTRoad_I (Telangana),1.9464285714285714,2,36.44285000000001,1.0,True,True
IND821115AAB,IND209304AAA,Sasaram_Central_I_2 (Bihar),Kanpur_Central_H_6 (Uttar Pradesh),1.9460921177587849,12,457.1472,1.0,False,True
IND585104AAA,IND585211AAA,Gulbarga_Nehrugnj_I (Karnataka),Chittapur_GlbrgaRD_D (Karnataka),1.9459459459459458,17,47.4594,1.0,False,True
IND686540AAA,IND686028AAB,Karukachal_MnimlaRd_D (Kerala),Kottayam_Central_H_1 (Kerala),1.9459064327485383,2,19.7342,1.0,True,True
IND000000ACB,IND110043AAC,Gurgaon_Bilaspur_HB (Haryana),Delhi_Nangli_L (Delhi),1.9454545454545449,9,52.015,1.0,False,True
IND562132AAA,IND302014AAA,Bangalore_Nelmngla_H (Karnataka),Jaipur_Hub (Rajasthan),1.9447489506362587,14,1854.67585,1.0,False,True
IND000000ACB,IND127021AAA,Gurgaon_Bilaspur_HB (Haryana),Bhiwani_DC (Haryana),1.9444444444444442,2,123.54990000000001,1.0,True,True
IND591302AAB,IND580028AAA,Khanapur_StatinRD_D (Karnataka),Hubli_Adargchi_IP (Karnataka),1.9442186088527553,8,100.1954,1.0,False,True
IND131028AAB,IND244001AAA,Sonipat_Kundli_H (Haryana),Moradabad_DC (Uttar Pradesh),1.9440993788819882,19,201.2372,1.0,False,True
IND395023AAA,IND562132AAA,Surat_HUB (Gujarat),Bangalore_Nelmngla_H (Karnataka),1.94386499574679,20,1193.0835499999998,1.0,False,True
IND781018AAB,IND785621AAA,Guwahati_Hub (Assam),Golaghat_BaruaRd_D (Assam),1.943722943722944,1,312.81690000000003,1.0,True,True
