center,n2v_0,n2v_1,n2v_2,n2v_3,n2v_4,n2v_5,n2v_6,n2v_7,n2v_8,n2v_9,n2v_10,n2v_11,n2v_12,n2v_13,n2v_14,n2v_15,n2v_16,n2v_17,n2v_18,n2v_19,n2v_20,n2v_21,n2v_22,n2v_23,n2v_24,n2v_25,n2v_26,n2v_27,n2v_28,n2v_29,n2v_30,n2v_31
IND756100AAC,1.2885525,-0.93686396,1.137167,-0.13280243,0.6419865,0.3682642,-0.59015995,-0.23318794,0.7618972,-1.0721627,0.6337295,0.36209393,0.89703697,0.46999592,0.9229707,0.22529952,0.58964133,0.23701517,0.20701647,0.45316356,-0.120432034,0.13015264,-1.6933426,0.04998113,0.89187086,-0.048210073,0.40737563,-0.56113964,-1.5738577,-1.1954757,-0.04089084,0.2581704
IND700053AAA,1.2390326,-0.48031104,0.5259124,0.20711051,0.29530102,0.52395844,-0.25438246,0.18380614,-0.13795982,-1.1772538,-0.6712122,1.1106957,0.053932548,0.21158732,0.9220517,0.8022234,0.49596044,0.18972027,0.07432457,0.81471217,1.3290927,-0.40517026,-0.67393726,-0.15747488,-0.9928637,-0.28548586,0.98966914,-0.6416312,-0.70611495,-0.45053592,0.66069573,-0.06655144
IND421004AAA,0.18915874,-0.12595165,-0.055179715,-0.67776483,0.7325456,-0.56884927,-0.5261312,0.05987435,0.12674794,-0.42996955,0.6443034,1.8770688,1.000375,0.82931185,1.6820166,0.14853996,0.84788775,0.49698836,0.0278811,1.3487995,1.6734627,0.82340026,-0.41977337,-1.1209463,1.3597741,0.45521343,-0.5325796,0.41568348,-0.59171677,-0.06722956,0.5166291,0.35716715
IND802213AAB,0.54966265,-0.8030526,0.90429443,-1.1856272,0.58452594,-0.269355,-0.11708416,-0.22596109,0.041387655,-0.42788866,-0.94265276,0.21959782,-0.6794931,0.69201607,1.534976,-0.123777896,-1.2819048,0.20858033,-0.1385366,2.3895566,0.38000152,0.5621767,-1.2061256,-0.1336858,-0.6985908,-1.0978571,0.033449512,-0.7613836,0.28614557,1.0724,0.3519913,0.53831387
IND302020AAA,1.2092952,0.72345084,0.44721866,-0.04926844,-0.25270402,-1.7114651,-0.6577244,-0.0724868,0.152435,-0.035969555,0.9178443,2.0457048,0.55758387,0.17729376,0.09269042,-0.13992743,-0.30175397,0.18807492,0.19643313,1.2290415,-0.80863845,1.0261589,0.065607786,0.38866967,-0.07721047,-0.36588174,-0.0037097237,-0.55426836,-1.1394058,-1.1932021,1.0768615,0.254792
IND803212AAB,1.3561407,0.7956788,1.1975487,-1.6617603,0.3716514,-0.2585121,1.0165313,-0.06553947,-0.13269912,-0.6681447,-0.13391796,1.7397681,-0.14667448,0.07474687,-0.5929929,-0.29287162,0.46882114,0.05633344,0.5973375,1.4151965,1.0661212,1.4740169,-0.2891542,0.5417714,-0.54242647,0.54997885,0.9302664,0.9779402,-1.5387819,-0.84858406,-0.42858368,1.556336
IND695541AAA,1.5243517,0.95566475,0.64217806,-1.0367641,0.21254621,-2.018171,-0.0071268566,0.6746479,-1.1628201,-0.87585795,0.29452965,1.266399,0.8417869,0.010947816,0.8328311,0.1570689,-0.4486885,-0.015161956,1.4741659,1.1521664,-0.095312096,0.42048195,0.46024546,-0.6847363,0.10284269,-0.55226123,0.1473794,0.017226772,-0.27505133,0.7261956,0.04569782,1.5371358
IND246149AAA,0.76245826,-0.86689,1.1470174,-0.39698738,0.053139683,-0.7605585,0.6579039,0.14805478,-0.5400431,0.38858914,0.3970515,1.7394947,-0.24997279,0.43346646,-0.68671376,-0.24029082,-0.33962652,-0.080886,0.24107689,-0.4420205,0.21358415,1.0014962,-1.2783535,-1.1037297,0.6876082,-1.0266155,-0.123663686,0.15635179,-0.9032379,-0.25713828,0.07132143,-0.17861052
IND623701AAA,2.3135066,0.042315107,-0.5357712,-1.0861393,0.42136845,-0.6450094,-0.66675824,-0.8369003,0.24341822,0.80528957,0.3597711,0.675635,-0.2556441,0.05272216,0.056826014,0.37741834,-0.20970024,-0.97133434,-0.1726923,1.5787419,0.12631816,2.112011,-1.0605159,-0.10794899,0.020895373,-0.29175222,0.38797545,-0.909255,-1.7554144,0.04732064,-0.13539396,1.504438
IND231208AAA,0.05915392,-0.26707938,0.47067004,-2.3053145,-0.39251363,-0.58854866,-1.1166711,-1.5383245,-0.35884026,-0.5369146,0.279826,0.97302574,-0.8099621,1.2577578,-0.5419099,-0.224224,0.625559,0.075944275,1.8017831,0.8939096,0.2398256,1.3393477,-0.33622903,-0.16428508,-0.6773494,-0.9369708,0.8760487,0.053065516,-1.2977821,-0.68463814,0.31011093,0.5624319
IND122002AAD,0.6612051,-1.1631587,2.1351526,-0.63341767,0.61980546,-0.57384217,-0.9363695,-1.2027825,0.19864571,-0.060373027,-0.2137135,0.68756914,-0.37370613,1.7044492,1.0545797,-0.4783419,-0.63612,0.07051956,0.4222019,0.15524875,0.2075402,0.0853121,-1.4972327,0.5886565,-0.18560824,-0.5793462,-0.27189952,-0.30926245,-0.6801733,0.21585155,0.05145013,-0.45618823
IND784168AAB,1.0342656,-0.53692544,0.26575252,-0.859683,1.0325928,-0.25895825,-0.2422304,0.44246408,0.5471313,-0.27727902,-0.6732495,1.8523971,-1.1252286,0.9445761,-0.04522996,0.067208335,0.8267393,0.44784302,0.33485508,0.33734313,0.4374002,0.5738663,0.034633067,-0.3607719,-0.8725038,0.21467113,0.13119575,-1.0810478,-0.5708784,-0.48329145,0.45302257,-0.23331942
IND824101AAA,0.5391771,-0.04649563,0.9801383,-1.2288728,1.0579689,-0.3019561,-0.16433604,-0.11476313,0.4452212,0.11294162,-0.5052686,0.22601584,-0.56187034,1.0675596,1.3574996,-0.34556925,-0.7536027,0.07710696,-0.068157926,2.3773017,0.92733604,0.28333926,-0.9857818,-0.22033341,-0.5090612,-1.277975,0.09793313,-0.09780029,0.4208066,1.3068838,0.866149,0.9295207
IND282002AAD,0.5534793,-0.14464223,1.2275128,0.10510051,0.9087848,-0.26521146,-0.47361138,-0.35678324,-0.15761149,0.03275208,0.18741663,0.89362234,-0.28036794,0.57573617,0.38194042,0.39557686,-0.41182193,0.40326118,-0.9624705,0.46577102,0.18164527,0.17140624,-0.62471735,-0.92946184,-0.5026481,-0.4215571,-0.3229017,-0.11792628,-0.21653181,0.7318478,-0.4127076,-0.30489957
IND733129AAB,2.1492085,-0.2494451,0.8322441,-0.34503195,0.36446863,1.3554598,0.6597274,-0.02093563,-0.5748216,-0.92349565,0.15781634,1.3075705,0.24408275,0.12465371,0.2740019,1.1128466,0.1435511,-0.8632217,-0.26087302,0.7708803,0.022772057,1.0783523,-1.0926548,-1.2483174,-1.1735985,-0.09325309,0.87637985,-0.8733272,-1.2207655,-0.7753475,0.121045925,0.2136851
IND480106AAA,1.149019,0.3270157,0.7667069,-1.4083642,-0.57639194,0.37966695,-0.07371881,-0.79085845,-1.4269803,0.22680987,-0.537289,1.6393222,-0.477356,2.2381132,-0.09126866,-0.5374778,-0.19194908,1.0145067,-0.2757198,0.50683415,-0.2921565,1.253867,0.2515498,-0.19445728,-0.19309255,-0.24831045,-0.4374354,0.3865232,-1.6816021,0.18855062,0.41235858,1.2538326
