center,name,betweenness,in_degree,out_degree,in_degree_weighted,out_degree_weighted,clustering,avg_incoming_delay_factor,bottleneck_score
IND631003AAA,Arakkonam_HousngBd_D (Tamil Nadu),0.0,1,1,2.6538461538461537,2.717948717948718,1.0,2.6538461538461537,0.0
IND790001AAB,Bomdila_CTRoad_D (Arunachal Pradesh),0.0,0,1,0.0,2.1538461538461537,0.0,0.0,0.0
IND500032AAA,Hyd_Chandanagar_Dc (Telangana),0.0,0,1,0.0,2.1538461538461537,0.0,0.0,0.0
IND509216AAC,Shadnagar_Central_D_1 (Telangana),0.0,1,1,2.1538461538461537,1.5854700854700858,1.0,2.1538461538461537,0.0
IND534260AAC,Palakollu_CroadDPP_D (Andhra Pradesh),0.0,1,1,1.9392091648189211,1.9392091648189211,0.0,1.9392091648189211,0.0
IND201005AAA,Ghaziabad_RjndrNgr_DC (Uttar Pradesh),0.0,1,1,2.1538461538461537,2.1538461538461537,0.0,2.1538461538461537,0.0
IND636005AAA,Salem_Kadtmpty_H (Tamil Nadu),0.0,0,0,0.0,0.0,0.0,0.0,0.0
IND700136AAG,Kolkata_Narynpur_C (West Bengal),0.0,0,1,0.0,4.559941520467836,0.0,0.0,0.0
IND620020AAA,Tiruchi (Tamil Nadu),0.0,0,1,0.0,1.7596153846153844,0.0,0.0,0.0
IND636102AAA,Attur_KaaduRd_D (Tamil Nadu),0.0,1,1,1.6653558052434458,1.3523809523809525,0.0,1.6653558052434458,0.0
IND281004AAA,Mathura_DC (Uttar Pradesh),0.0,1,0,1.9392091648189211,0.0,0.0,1.9392091648189211,0.0
IND500035AAD,Hyderabad_South_D_12 (Telangana),0.0,1,0,3.142857142857143,0.0,0.0,3.142857142857143,0.0
IND110078AAA,Janakpuri (Delhi),0.0,1,1,1.6978260869565218,2.732919254658385,0.0,1.6978260869565218,0.0
IND736165AAA,Pundibari_StatonRD_D (West Bengal),0.0,1,0,2.5526315789473686,0.0,0.0,2.5526315789473686,0.0
