rank,center,name,legs_out,breaches,legs_in,breaches_in,breach_rate,network_breach_share_pct,recoverable_breaches,revenue_at_risk_rs,revenue_recoverable_rs,betweenness,in_degree,out_degree,avg_incoming_delay_factor,bottleneck_score,clustering,rankable
0,IND585307AAB,Chincholi_Mainroad_D (Karnataka),21,16,22.0,0.0,0.7619047619047619,0.20714655618850336,10.0,8000.0,5000.0,0.000399075508098,2.0,2.0,1.8471933471933475,0.0007371696235864,0.0,False
0,IND742148AAA,Lalgola_KrsprDPP_D (West Bengal),16,16,14.0,9.0,1.0,0.20714655618850336,12.0,8000.0,6000.0,0.0,1.0,1.0,2.833333333333333,0.0,1.0,False
0,IND742225AAA,Ragunthgnj_GopalDPP_D (West Bengal),16,16,17.0,17.0,1.0,0.20714655618850336,12.0,8000.0,6000.0,0.0007926027966197,2.0,1.0,3.2019230769230766,0.0025378531853304,0.3333333333333333,False
0,IND742303AAB,Domkal_Central_D_2 (West Bengal),18,16,19.0,3.0,0.8888888888888888,0.20714655618850336,11.0,8000.0,5500.0,0.0012114933746332,2.0,1.0,2.321428571428571,0.0028123953339699,0.0,False
0,IND785690AAB,Sonari_Central_DPP_1 (Assam),16,16,2.0,2.0,1.0,0.20714655618850336,12.0,8000.0,6000.0,0.0,1.0,1.0,2.1538461538461537,0.0,0.0,False
0,IND134102AAA,Kalka_Pinjore_DC (Haryana),16,15,3.0,3.0,0.9375,0.19419989642672192,11.0,7500.0,5500.0,3.302511652582115e-07,2.0,1.0,1.9392091648189207,6.404260863608518e-07,0.0,False
0,IND249201AAA,Rishikesh_DC (Uttarakhand),21,15,22.0,1.0,0.7142857142857143,0.19419989642672192,9.0,7500.0,4500.0,0.0,1.0,1.0,2.0384615384615383,0.0,0.0,False
0,IND396232AAA,Silvassa_Samrvrni_D (Dadra and Nagar Haveli),15,15,17.0,9.0,1.0,0.19419989642672192,11.0,7500.0,5500.0,0.0,1.0,1.0,2.5,0.0,0.0,False
0,IND401104AAB,Mumbai_MiraRoad_M (Maharashtra),28,15,11.0,3.0,0.5357142857142857,0.19419989642672192,7.0,7500.0,3500.0,0.0,1.0,2.0,2.1538461538461537,0.0,1.0,False
0,IND421301AAA,Mumbai_Kalyan West _Dc (Maharashtra),15,15,17.0,17.0,1.0,0.19419989642672192,11.0,7500.0,5500.0,0.0,1.0,1.0,4.331818181818182,0.0,0.0,False
0,IND700065AAB,CCU_Beleghta_CP (West Bengal),15,15,0.0,0.0,1.0,0.19419989642672192,11.0,7500.0,5500.0,0.0,0.0,1.0,0.0,0.0,0.0,False
0,IND731237AAB,Morgram_Kntgorya_D (West Bengal),15,15,18.0,13.0,1.0,0.19419989642672192,11.0,7500.0,5500.0,0.0016145318967143,2.0,1.0,2.799425287356322,0.0045197614189055,0.0,False
0,IND847223AAA,Benipatti_WardNo1_D (Bihar),15,15,8.0,4.0,1.0,0.19419989642672192,11.0,7500.0,5500.0,0.0011829596739549,1.0,1.0,2.15,0.002543363299003,1.0,False
0,IND852113AAA,Madhepura_Krishnpr_D (Bihar),20,15,18.0,18.0,0.75,0.19419989642672192,10.0,7500.0,5000.0,0.0003988773573988,2.0,2.0,2.7269575235859307,0.0010877216107469,0.6666666666666666,False
0,IND174001AAA,BilaspurHP_Indsarea_D (Himachal Pradesh),15,14,29.0,15.0,0.9333333333333333,0.18125323666494045,10.0,7000.0,5000.0,0.0023932641443932,2.0,1.0,4.653161681181371,0.0111362450096357,0.0,False
0,IND202001AAB,Aligarh_KhirByps_I (Uttar Pradesh),21,14,35.0,7.0,0.6666666666666666,0.18125323666494045,8.0,7000.0,4000.0,0.0031710320586694,4.0,4.0,2.6926692644540138,0.0085385405609776,0.2666666666666666,False
0,IND221313AAA,Varanasi_Central_H_4 (Uttar Pradesh),14,14,6.0,1.0,1.0,0.18125323666494045,10.0,7000.0,5000.0,0.0,1.0,0.0,1.9392091648189207,0.0,0.0,False
0,IND246149AAA,Kotdwara_Nzbadrd_D (Uttarakhand),15,14,18.0,10.0,0.9333333333333333,0.18125323666494045,10.0,7000.0,5000.0,0.0,1.0,1.0,2.3859649122807016,0.0,0.0,False
0,IND273304AAA,Nichlaul_Wardno13_D (Uttar Pradesh),14,14,3.0,3.0,1.0,0.18125323666494045,10.0,7000.0,5000.0,0.0007993399203909,1.0,1.0,2.1538461538461537,0.0017216552131497,0.0,False
0,IND395001AAA,Surat_Central_D_9 (Gujarat),14,14,8.0,3.0,1.0,0.18125323666494045,10.0,7000.0,5000.0,0.0,1.0,1.0,2.538461538461538,0.0,0.0,False
0,IND425405AAA,Shirpur_KrantiNgr_D (Maharashtra),15,14,7.0,0.0,0.9333333333333333,0.18125323666494045,10.0,7000.0,5000.0,0.0002013211103414,2.0,2.0,1.9392091648189207,0.0003904037422455,0.6666666666666666,False
0,IND431515AAA,Parli_JirgeNgr_D (Maharashtra),14,14,16.0,3.0,1.0,0.18125323666494045,10.0,7000.0,5000.0,0.0031521813221565,1.0,1.0,2.0454545454545454,0.006447643613502,0.0,False
0,IND506314AAA,Rayaparthi_Perkadrd_D (Telangana),16,14,12.0,0.0,0.875,0.18125323666494045,10.0,7000.0,5000.0,0.0011829596739549,1.0,1.0,1.357754890081357,0.0016061692820813,0.0,False
0,IND713128AAB,Guskhara_Itachnda_D (West Bengal),16,14,17.0,14.0,0.875,0.18125323666494045,10.0,7000.0,5000.0,0.0012019821410737,1.0,2.0,2.7043650793650795,0.0032505985283404,0.3333333333333333,False
0,IND713148AAA,Panagarh_Central_D_1 (West Bengal),17,14,3.0,3.0,0.8235294117647058,0.18125323666494045,9.0,7000.0,4500.0,0.0012114933746332,1.0,1.0,1.9392091648189207,0.0023493390552061,0.0,False
0,IND742121AAB,Nowda_ArhamDPP_D (West Bengal),17,14,16.0,1.0,0.8235294117647058,0.18125323666494045,9.0,7000.0,4500.0,0.0011924709075143,1.0,2.0,1.4285714285714286,0.0017035298678776,0.3333333333333333,False
0,IND802101AAA,Buxar_Sarswati_D (Bihar),15,14,6.0,3.0,0.9333333333333333,0.18125323666494045,10.0,7000.0,5000.0,0.0008080585511537,1.0,2.0,2.215675675675676,0.0017903956763131,0.6666666666666666,False
0,IND844505AAB,HazratJandaha_HajiprRD_D (Bihar),14,14,16.0,14.0,1.0,0.18125323666494045,10.0,7000.0,5000.0,0.0007890360840349,1.0,1.0,4.222222222222222,0.0033314856881474,1.0,False
0,IND848101AAA,Samastipur_Haripur_D (Bihar),16,14,21.0,7.0,0.875,0.18125323666494045,10.0,7000.0,5000.0,0.0007985473175943,2.0,1.0,1.9571045824094608,0.0015628406145346,0.6666666666666666,False
0,IND134109AAA,Chandigarh_Panchkula (Chandigarh),15,13,0.0,0.0,0.8666666666666667,0.16830657690315898,9.0,6500.0,4500.0,0.0,0.0,1.0,0.0,0.0,0.0,False
0,IND175015AAA,JognderNgr_Dhelu_D (Himachal Pradesh),13,13,11.0,1.0,1.0,0.16830657690315898,9.0,6500.0,4500.0,0.0007910175910264,1.0,1.0,2.021505376344086,0.0015990463130427,0.0,False
0,IND176310AAA,Chamba_Bangotu_D (Himachal Pradesh),13,13,10.0,1.0,1.0,0.16830657690315898,9.0,6500.0,4500.0,1.1889041949295614e-06,1.0,1.0,1.335704291044776,1.58802443480855e-06,1.0,False
0,IND208012AAA,Kanpur_Central_D_7 (Uttar Pradesh),13,13,21.0,0.0,1.0,0.16830657690315898,9.0,6500.0,4500.0,0.0,1.0,1.0,2.0,0.0,0.0,False
0,IND211011AAA,Allahabad_Central_D_5 (Uttar Pradesh),13,13,13.0,13.0,1.0,0.16830657690315898,9.0,6500.0,4500.0,0.0008080585511537,1.0,1.0,4.714285714285714,0.0038094188840107,0.0,False
0,IND212402AAA,Phulpur_Shekhpur_D (Uttar Pradesh),13,13,13.0,0.0,1.0,0.16830657690315898,9.0,6500.0,4500.0,0.0007890360840349,1.0,1.0,1.72,0.00135714206454,0.0,False
0,IND261001AAA,Sitapur_Chowk_D (Uttar Pradesh),20,13,19.0,17.0,0.65,0.16830657690315898,8.0,6500.0,4000.0,1.1889041949295614e-06,1.0,1.0,2.636363636363636,3.1343837866324798e-06,0.0,False
