source_center,destination_center,route_type,overall_median_factor,total_trips,median_osrm_dist,median_osrm_time,pct_delayed
IND122001AAA,IND000000ACB,Carting,1.7235521235521234,20,35.73245,34.0,0.95
IND122001AAA,IND122001AAD,Carting,3.2,3,12.6033,12.0,1.0
IND122001AAA,IND122050AAA,Carting,4.892857142857143,1,24.9983,28.0,1.0
IND122001AAA,IND122101AAC,Carting,1.375,1,13.6755,16.0,1.0
IND122001AAD,IND122050AAA,Carting,1.8872549019607843,10,16.641849999999998,20.0,0.9
IND122001AAJ,IND507123AAA,FTL,0.7758620689655172,13,39.431,58.0,0.0
IND122002AAD,IND122503AAA,Carting,2.285,2,29.54775,22.5,1.0
IND122004AAA,IND000000ACB,Carting,1.6176470588235294,1,35.6947,34.0,1.0
IND122004AAA,IND122413AAE,Carting,1.7647058823529411,43,35.7912,34.0,1.0
IND122503AAA,IND122001AAA,Carting,4.5997150997151,2,34.04905,26.5,1.0
IND123001AAA,IND123401AAB,FTL,1.911764705882353,13,44.1692,34.0,1.0
IND123401AAB,IND000000ACB,FTL,2.0,3,66.0395,62.0,1.0
IND123401AAB,IND123106AAB,FTL,1.96,10,53.46755,50.0,1.0
IND124001AAB,IND126102AAA,FTL,2.520348837209302,4,60.50635,43.5,1.0
IND124103AAA,IND127021AAA,FTL,1.8846153846153848,9,74.3035,52.0,1.0
IND124112AAA,IND125001AAA,FTL,2.816161616161616,2,55.8926,44.5,1.0
IND124112AAA,IND125005AAA,FTL,2.4507246376811596,2,56.3482,45.5,1.0
IND124112AAA,IND125033AAA,FTL,1.7214285714285715,4,36.35185,28.5,1.0
IND124141AAA,IND000000ACB,FTL,2.0652768284347234,10,92.62684999999999,79.0,1.0
IND124507AAA,IND131028AAB,FTL,2.260869565217391,9,36.9301,45.0,1.0
IND124507AAA,IND131028AAE,FTL,2.511627906976744,3,42.099,44.0,1.0
IND125001AAA,IND000000ACB,FTL,2.0037589828634603,10,170.45145000000002,135.0,1.0
